postcode,name,state,latitude,longitude
1751,Halden,OF,59.1248,11.3875
1752,Halden,OF,59.1248,11.3875
1753,Halden,OF,59.1248,11.3875
1754,Halden,OF,59.1248,11.3875
1756,Halden,OF,59.1248,11.3875
1757,Halden,OF,59.1248,11.3875
1758,Halden,OF,59.1248,11.3875
1760,Halden,OF,59.1248,11.3875
1761,Halden,OF,59.1248,11.3875
1763,Halden,OF,59.19,11.3387
1764,Halden,OF,59.1809,11.4791
1765,Halden,OF,59.0162,11.45
1766,Halden,OF,59.9889,11.5386
1767,Halden,OF,59.1248,11.3875
1768,Halden,OF,59.1248,11.3875
1769,Halden,OF,59.1248,11.3875
1771,Halden,OF,59.1248,11.3875
1772,Halden,OF,59.1248,11.3875
1776,Halden,OF,59.1248,11.3875
1777,Halden,OF,59.1248,11.3875
1778,Halden,OF,59.1248,11.3875
1779,Halden,OF,59.1248,11.3875
1781,Halden,OF,59.1248,11.3875
1782,Halden,OF,59.1248,11.3875
1783,Halden,OF,59.1248,11.3875
1784,Halden,OF,59.1248,11.3875
1785,Halden,OF,59.1248,11.3875
1786,Halden,OF,59.1248,11.3875
1787,Berg I Østfold,OF,59.1248,11.3875
1788,Berg I Østfold,OF,59.1248,11.3875
1789,Berg I Østfold,OF,59.1248,11.3875
1790,Tistedal,OF,59.1264,11.4434
1791,Tistedal,OF,59.1264,11.4434
1792,Tistedal,OF,59.1264,11.4434
1793,Tistedal,OF,59.1264,11.4434
1794,Sponvika,OF,59.1,11.2333
1796,Kornsjø,OF,58.95,11.65
1501,Moss,OF,59.434,10.6577
1502,Moss,OF,59.434,10.6577
1503,Moss,OF,59.434,10.6577
1506,Moss,OF,59.434,10.6577
1508,Moss,OF,59.434,10.6577
1509,Moss,OF,59.434,10.6577
1510,Moss,OF,59.434,10.6577
1511,Moss,OF,59.434,10.6577
1512,Moss,OF,59.434,10.6577
1513,Moss,OF,59.434,10.6577
1514,Moss,OF,59.4835,10.6504
1515,Moss,OF,59.434,10.6577
1516,Moss,OF,59.434,10.6577
1517,Moss,OF,59.434,10.6577
